2D Navier Stokes Equation Using Finite Volume Method
Solving in parallel mode
No of Processors:	 2 	 X 2 == 	 4
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	1	 Ures: 	1.0000000000e+00	 Vres: 	1.0000000000e+00	 Pres: 	1.0000000000e+00	 
Iteration no:	2	 Ures: 	1.1694935628e+00	 Vres: 	1.6366826396e+00	 Pres: 	1.4876839073e+00	 
Iteration no:	3	 Ures: 	8.3951644244e-01	 Vres: 	2.2164978290e+00	 Pres: 	2.0263826377e+00	 
Iteration no:	4	 Ures: 	6.4999259592e-01	 Vres: 	2.9129329395e+00	 Pres: 	2.4067753655e+00	 
Iteration no:	5	 Ures: 	5.2974499524e-01	 Vres: 	3.5344439288e+00	 Pres: 	2.7175884739e+00	 
Iteration no:	6	 Ures: 	4.4643194320e-01	 Vres: 	4.0536363144e+00	 Pres: 	2.9828349167e+00	 
Iteration no:	7	 Ures: 	3.8485870756e-01	 Vres: 	4.4886032429e+00	 Pres: 	3.1983269717e+00	 
Iteration no:	8	 Ures: 	3.3736465457e-01	 Vres: 	4.8527150414e+00	 Pres: 	3.3739778746e+00	 
Iteration no:	9	 Ures: 	2.9960960740e-01	 Vres: 	5.1576701748e+00	 Pres: 	3.4996139784e+00	 
Iteration no:	10	 Ures: 	2.6909094849e-01	 Vres: 	5.4131350421e+00	 Pres: 	3.5829773668e+00	 
Iteration no:	11	 Ures: 	2.4420600232e-01	 Vres: 	5.6265475406e+00	 Pres: 	3.6125304776e+00	 
Iteration no:	12	 Ures: 	2.2397072697e-01	 Vres: 	5.8037587218e+00	 Pres: 	3.5969841433e+00	 
Iteration no:	13	 Ures: 	2.0772347508e-01	 Vres: 	5.9483429312e+00	 Pres: 	3.5271032881e+00	 
Iteration no:	14	 Ures: 	1.9498724292e-01	 Vres: 	6.0622538453e+00	 Pres: 	3.4140916522e+00	 
Iteration no:	15	 Ures: 	1.8538164749e-01	 Vres: 	6.1457399909e+00	 Pres: 	3.2527769109e+00	 
Iteration no:	16	 Ures: 	1.7848425222e-01	 Vres: 	6.1977788075e+00	 Pres: 	3.0571388471e+00	 
Iteration no:	17	 Ures: 	1.7388850745e-01	 Vres: 	6.2168641056e+00	 Pres: 	2.8266664896e+00	 
Iteration no:	18	 Ures: 	1.7108397866e-01	 Vres: 	6.2009127104e+00	 Pres: 	2.5779434706e+00	 
Iteration no:	19	 Ures: 	1.6962110968e-01	 Vres: 	6.1486466052e+00	 Pres: 	2.3156009603e+00	 
Iteration no:	20	 Ures: 	1.6899790488e-01	 Vres: 	6.0587839720e+00	 Pres: 	2.0591426521e+00	 
Iteration no:	21	 Ures: 	1.6884643936e-01	 Vres: 	5.9317083555e+00	 Pres: 	1.8198164538e+00	 
Iteration no:	22	 Ures: 	1.6879647878e-01	 Vres: 	5.7680019784e+00	 Pres: 	1.6208301790e+00	 
Iteration no:	23	 Ures: 	1.6863213897e-01	 Vres: 	5.5702022110e+00	 Pres: 	1.4794279385e+00	 
Iteration no:	24	 Ures: 	1.6814150518e-01	 Vres: 	5.3408693746e+00	 Pres: 	1.4131101429e+00	 
Iteration no:	25	 Ures: 	1.6724131950e-01	 Vres: 	5.0843289138e+00	 Pres: 	1.4248929397e+00	 
